id,nom,secteur,localisation,effectif,signal_croissance,site_web,paiement_en_ligne,score,score_reasons,statut,date_contact,message_genere
1,Nova 1,Finance,Agoè-Nyivé,25,Data/BI,true,true,95,"Secteur prioritaire haute valeur (Finance) | Taille correcte (25 salariés) | Lomé, couverture Fibre optimale | Signal d'expansion : Data/BI",Scoré,2026-08-12,
83,Alliance 83,Éducation,Agoè-Nyivé,35,Marketing digital,true,false,90,"Secteur prioritaire (Éducation) | Taille correcte (35 salariés) | Lomé, couverture Fibre optimale | Signal d'expansion : Marketing digital",Contacté,2026-09-05,"Bonjour, votre besoin en Marketing digital montre la dynamique de Alliance 83. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
84,Evolu 84,Immobilier,Lomé,12,Développement web,true,false,80,"Secteur secondaire (Immobilier) | Taille correcte (12 salariés) | Lomé, couverture Fibre optimale | Signal d'expansion : Développement web",Contacté,2026-09-10,"Bonjour, votre besoin en Développement web montre la dynamique de Evolu 84. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
85,Alliance 85,Distribution,Kara,25,CRM,true,false,75,"Secteur secondaire (Distribution) | Taille correcte (25 salariés) | Kara, couverture Fibre partielle | Signal d'expansion : CRM",Converti,,"Bonjour, votre besoin en CRM montre la dynamique de Alliance 85. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
86,Vision 86,Agroalimentaire,Lomé,35,Automatisation,true,false,70,"Secteur hors cible (Agroalimentaire) | Taille correcte (35 salariés) | Lomé, couverture Fibre optimale | Signal d'expansion : Automatisation",Relancé,2026-09-05,"Bonjour, votre besoin en Automatisation montre la dynamique de Vision 86. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
87,Élite 87,Commerce,Kara,18,Data/BI,true,true,75,"Secteur secondaire (Commerce) | Taille correcte (18 salariés) | Kara, couverture Fibre partielle | Signal d'expansion : Data/BI",Converti,2026-09-05,"Bonjour, votre besoin en Data/BI montre la dynamique de Élite 87. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
88,Alliance 88,Technologie,Lomé,50,Automatisation,true,true,95,"Secteur prioritaire (Technologie) | Taille idéale (50 salariés) | Lomé, couverture Fibre optimale | Signal d'expansion : Automatisation",Contacté,2026-09-10,"Bonjour, votre besoin en Automatisation montre la dynamique de Alliance 88. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
89,Vision 89,Industrie,Kpalimé,35,Automatisation,true,false,65,Secteur secondaire (Industrie) | Taille correcte (35 salariés) | Hors zone prioritaire (Kpalimé) | Signal d'expansion : Automatisation,Relancé,2026-09-05,"Bonjour, votre besoin en Automatisation montre la dynamique de Vision 89. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
90,Avenir 90,Immobilier,Kara,18,Marketing digital,true,false,75,"Secteur secondaire (Immobilier) | Taille correcte (18 salariés) | Kara, couverture Fibre partielle | Signal d'expansion : Marketing digital",Converti,2026-09-01,"Bonjour, votre besoin en Marketing digital montre la dynamique de Avenir 90. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
91,Vision 91,Santé,Lomé,18,CRM,true,false,90,"Secteur prioritaire (Santé) | Taille correcte (18 salariés) | Lomé, couverture Fibre optimale | Signal d'expansion : CRM",Contacté,2026-09-10,"Bonjour, votre besoin en CRM montre la dynamique de Vision 91. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
92,Nova 92,Agroalimentaire,Atakpamé,18,,true,false,30,Secteur hors cible (Agroalimentaire) | Taille correcte (18 salariés) | Hors zone prioritaire (Atakpamé) | Aucun signal de croissance détecté,Contacté,2026-08-25,"Bonjour, votre croissance dans le secteur Agroalimentaire montre la dynamique de Nova 92. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
93,Orion 93,Santé,Lomé,12,Data/BI,true,false,90,"Secteur prioritaire (Santé) | Taille correcte (12 salariés) | Lomé, couverture Fibre optimale | Signal d'expansion : Data/BI",Contacté,2026-09-01,"Bonjour, votre besoin en Data/BI montre la dynamique de Orion 93. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
94,Kékéli 94,Logistique,Lomé,120,Data/BI,true,false,95,"Secteur prioritaire (Logistique) | Taille idéale (120 salariés) | Lomé, couverture Fibre optimale | Signal d'expansion : Data/BI",Non intéressé,2026-09-10,
95,Evolu 95,Finance,Tsévié,120,,true,true,60,Secteur prioritaire haute valeur (Finance) | Taille idéale (120 salariés) | Hors zone prioritaire (Tsévié) | Aucun signal de croissance détecté,Converti,2026-08-12,"Bonjour, votre croissance dans le secteur Finance montre la dynamique de Evolu 95. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
96,Sigma 96,Commerce,Tsévié,8,Automatisation,true,true,50,Secteur secondaire (Commerce) | Taille inadaptée (8 salariés) | Hors zone prioritaire (Tsévié) | Signal d'expansion : Automatisation,Contacté,2026-09-05,"Bonjour, votre besoin en Automatisation montre la dynamique de Sigma 96. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
97,Evolu 97,Logistique,Kpalimé,8,Automatisation,true,false,60,Secteur prioritaire (Logistique) | Taille inadaptée (8 salariés) | Hors zone prioritaire (Kpalimé) | Signal d'expansion : Automatisation,Non intéressé,2026-09-01,
98,Vision 98,Logistique,Tsévié,8,Développement web,true,false,60,Secteur prioritaire (Logistique) | Taille inadaptée (8 salariés) | Hors zone prioritaire (Tsévié) | Signal d'expansion : Développement web,Nouveau,2026-08-12,
99,Vision 99,Commerce,Agoè-Nyivé,35,Marketing digital,true,true,80,"Secteur secondaire (Commerce) | Taille correcte (35 salariés) | Lomé, couverture Fibre optimale | Signal d'expansion : Marketing digital",Contacté,,"Bonjour, votre besoin en Marketing digital montre la dynamique de Vision 99. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
100,Avenir 100,Santé,Tsévié,25,Marketing digital,true,false,75,Secteur prioritaire (Santé) | Taille correcte (25 salariés) | Hors zone prioritaire (Tsévié) | Signal d'expansion : Marketing digital,Scoré,2026-09-01,
101,Élite 101,Commerce,Atakpamé,25,Data/BI,true,true,65,Secteur secondaire (Commerce) | Taille correcte (25 salariés) | Hors zone prioritaire (Atakpamé) | Signal d'expansion : Data/BI,Contacté,2026-09-01,"Bonjour, votre besoin en Data/BI montre la dynamique de Élite 101. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
102,Alliance 102,Immobilier,Lomé,35,CRM,true,false,80,"Secteur secondaire (Immobilier) | Taille correcte (35 salariés) | Lomé, couverture Fibre optimale | Signal d'expansion : CRM",Scoré,,
103,Impact 103,Logistique,Kara,50,,true,false,65,"Secteur prioritaire (Logistique) | Taille idéale (50 salariés) | Kara, couverture Fibre partielle | Aucun signal de croissance détecté",Nouveau,2026-08-25,
104,Evolu 104,Finance,Tsévié,8,Automatisation,true,true,65,Secteur prioritaire haute valeur (Finance) | Taille inadaptée (8 salariés) | Hors zone prioritaire (Tsévié) | Signal d'expansion : Automatisation,Relancé,2026-08-12,"Bonjour, votre besoin en Automatisation montre la dynamique de Evolu 104. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
105,Vision 105,Commerce,Kpalimé,25,Développement web,true,true,65,Secteur secondaire (Commerce) | Taille correcte (25 salariés) | Hors zone prioritaire (Kpalimé) | Signal d'expansion : Développement web,Nouveau,2026-08-25,
106,Impact 106,Distribution,Tsévié,25,Développement web,true,false,65,Secteur secondaire (Distribution) | Taille correcte (25 salariés) | Hors zone prioritaire (Tsévié) | Signal d'expansion : Développement web,Relancé,,"Bonjour, votre besoin en Développement web montre la dynamique de Impact 106. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
107,Orion 107,Agroalimentaire,Lomé,35,CRM,true,false,70,"Secteur hors cible (Agroalimentaire) | Taille correcte (35 salariés) | Lomé, couverture Fibre optimale | Signal d'expansion : CRM",Relancé,2026-09-05,"Bonjour, votre besoin en CRM montre la dynamique de Orion 107. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
108,Vision 108,Santé,Kara,8,,true,false,45,"Secteur prioritaire (Santé) | Taille inadaptée (8 salariés) | Kara, couverture Fibre partielle | Aucun signal de croissance détecté",Non intéressé,2026-08-12,
109,Vision 109,Services,Atakpamé,50,Développement web,true,false,70,Secteur secondaire (Services) | Taille idéale (50 salariés) | Hors zone prioritaire (Atakpamé) | Signal d'expansion : Développement web,Nouveau,2026-09-10,
110,Nova 110,Agroalimentaire,Agoè-Nyivé,120,Développement web,true,false,75,"Secteur hors cible (Agroalimentaire) | Taille idéale (120 salariés) | Lomé, couverture Fibre optimale | Signal d'expansion : Développement web",Contacté,2026-08-25,"Bonjour, votre besoin en Développement web montre la dynamique de Nova 110. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
111,Evolu 111,Distribution,Agoè-Nyivé,8,Marketing digital,true,false,65,"Secteur secondaire (Distribution) | Taille inadaptée (8 salariés) | Lomé, couverture Fibre optimale | Signal d'expansion : Marketing digital",Converti,2026-09-01,"Bonjour, votre besoin en Marketing digital montre la dynamique de Evolu 111. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
112,Sigma 112,Commerce,Kara,75,Data/BI,true,true,80,"Secteur secondaire (Commerce) | Taille idéale (75 salariés) | Kara, couverture Fibre partielle | Signal d'expansion : Data/BI",Non intéressé,2026-09-05,
113,Avenir 113,Immobilier,Lomé,25,Automatisation,true,false,80,"Secteur secondaire (Immobilier) | Taille correcte (25 salariés) | Lomé, couverture Fibre optimale | Signal d'expansion : Automatisation",Converti,2026-08-12,"Bonjour, votre besoin en Automatisation montre la dynamique de Avenir 113. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
114,Evolu 114,Technologie,Tsévié,18,Automatisation,true,true,75,Secteur prioritaire (Technologie) | Taille correcte (18 salariés) | Hors zone prioritaire (Tsévié) | Signal d'expansion : Automatisation,Converti,2026-08-12,"Bonjour, votre besoin en Automatisation montre la dynamique de Evolu 114. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
115,Kékéli 115,Finance,Kpalimé,18,Application mobile,true,true,80,Secteur prioritaire haute valeur (Finance) | Taille correcte (18 salariés) | Hors zone prioritaire (Kpalimé) | Signal d'expansion : Application mobile,Non intéressé,2026-09-05,
116,Evolu 116,Finance,Lomé,35,Application mobile,true,true,95,"Secteur prioritaire haute valeur (Finance) | Taille correcte (35 salariés) | Lomé, couverture Fibre optimale | Signal d'expansion : Application mobile",Contacté,2026-08-12,"Bonjour, votre besoin en Application mobile montre la dynamique de Evolu 116. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
117,Kékéli 117,Immobilier,Kpalimé,25,Application mobile,true,false,65,Secteur secondaire (Immobilier) | Taille correcte (25 salariés) | Hors zone prioritaire (Kpalimé) | Signal d'expansion : Application mobile,Converti,2026-09-01,"Bonjour, votre besoin en Application mobile montre la dynamique de Kékéli 117. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
118,Orion 118,Commerce,Atakpamé,50,Développement web,true,true,70,Secteur secondaire (Commerce) | Taille idéale (50 salariés) | Hors zone prioritaire (Atakpamé) | Signal d'expansion : Développement web,Contacté,2026-08-25,"Bonjour, votre besoin en Développement web montre la dynamique de Orion 118. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
119,Kékéli 119,Commerce,Lomé,25,Data/BI,true,true,80,"Secteur secondaire (Commerce) | Taille correcte (25 salariés) | Lomé, couverture Fibre optimale | Signal d'expansion : Data/BI",Contacté,2026-08-25,"Bonjour, votre besoin en Data/BI montre la dynamique de Kékéli 119. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
120,Evolu 120,Distribution,Lomé,75,Automatisation,true,false,85,"Secteur secondaire (Distribution) | Taille idéale (75 salariés) | Lomé, couverture Fibre optimale | Signal d'expansion : Automatisation",Converti,2026-09-05,"Bonjour, votre besoin en Automatisation montre la dynamique de Evolu 120. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
121,Orion 121,Éducation,Kara,25,Automatisation,true,false,85,"Secteur prioritaire (Éducation) | Taille correcte (25 salariés) | Kara, couverture Fibre partielle | Signal d'expansion : Automatisation",Relancé,2026-09-10,"Bonjour, votre besoin en Automatisation montre la dynamique de Orion 121. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
122,Kékéli 122,Éducation,Tsévié,12,Marketing digital,true,false,75,Secteur prioritaire (Éducation) | Taille correcte (12 salariés) | Hors zone prioritaire (Tsévié) | Signal d'expansion : Marketing digital,Contacté,2026-08-12,"Bonjour, votre besoin en Marketing digital montre la dynamique de Kékéli 122. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
123,Alliance 123,Industrie,Agoè-Nyivé,120,,true,false,60,"Secteur secondaire (Industrie) | Taille idéale (120 salariés) | Lomé, couverture Fibre optimale | Aucun signal de croissance détecté",Nouveau,2026-09-05,
124,Vision 124,Agroalimentaire,Agoè-Nyivé,35,Application mobile,true,false,70,"Secteur hors cible (Agroalimentaire) | Taille correcte (35 salariés) | Lomé, couverture Fibre optimale | Signal d'expansion : Application mobile",Contacté,2026-08-25,"Bonjour, votre besoin en Application mobile montre la dynamique de Vision 124. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
125,Alliance 125,Industrie,Kpalimé,12,CRM,true,false,65,Secteur secondaire (Industrie) | Taille correcte (12 salariés) | Hors zone prioritaire (Kpalimé) | Signal d'expansion : CRM,Contacté,2026-09-10,"Bonjour, votre besoin en CRM montre la dynamique de Alliance 125. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
126,Evolu 126,Agroalimentaire,Lomé,50,Développement web,true,false,75,"Secteur hors cible (Agroalimentaire) | Taille idéale (50 salariés) | Lomé, couverture Fibre optimale | Signal d'expansion : Développement web",Scoré,2026-08-12,
127,Evolu 127,Agroalimentaire,Kpalimé,5,Data/BI,true,false,40,Secteur hors cible (Agroalimentaire) | Taille inadaptée (5 salariés) | Hors zone prioritaire (Kpalimé) | Signal d'expansion : Data/BI,Relancé,2026-09-05,"Bonjour, votre besoin en Data/BI montre la dynamique de Evolu 127. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
128,Nova 128,Agroalimentaire,Lomé,35,Marketing digital,true,false,70,"Secteur hors cible (Agroalimentaire) | Taille correcte (35 salariés) | Lomé, couverture Fibre optimale | Signal d'expansion : Marketing digital",Contacté,,"Bonjour, votre besoin en Marketing digital montre la dynamique de Nova 128. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
129,Élite 129,Commerce,Agoè-Nyivé,35,Développement web,true,true,80,"Secteur secondaire (Commerce) | Taille correcte (35 salariés) | Lomé, couverture Fibre optimale | Signal d'expansion : Développement web",Relancé,2026-09-01,"Bonjour, votre besoin en Développement web montre la dynamique de Élite 129. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
130,Kékéli 130,Technologie,Kpalimé,75,Marketing digital,true,true,80,Secteur prioritaire (Technologie) | Taille idéale (75 salariés) | Hors zone prioritaire (Kpalimé) | Signal d'expansion : Marketing digital,Contacté,2026-08-25,"Bonjour, votre besoin en Marketing digital montre la dynamique de Kékéli 130. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
131,Impact 131,Finance,Tsévié,35,,true,true,55,Secteur prioritaire haute valeur (Finance) | Taille correcte (35 salariés) | Hors zone prioritaire (Tsévié) | Aucun signal de croissance détecté,Contacté,2026-08-12,"Bonjour, votre croissance dans le secteur Finance montre la dynamique de Impact 131. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
132,Élite 132,Santé,Tsévié,8,Application mobile,true,false,60,Secteur prioritaire (Santé) | Taille inadaptée (8 salariés) | Hors zone prioritaire (Tsévié) | Signal d'expansion : Application mobile,Converti,2026-09-05,"Bonjour, votre besoin en Application mobile montre la dynamique de Élite 132. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
133,Orion 133,Santé,Kpalimé,8,Data/BI,true,false,60,Secteur prioritaire (Santé) | Taille inadaptée (8 salariés) | Hors zone prioritaire (Kpalimé) | Signal d'expansion : Data/BI,Nouveau,2026-08-12,
134,Alliance 134,Santé,Atakpamé,75,Automatisation,true,false,80,Secteur prioritaire (Santé) | Taille idéale (75 salariés) | Hors zone prioritaire (Atakpamé) | Signal d'expansion : Automatisation,Relancé,2026-09-05,"Bonjour, votre besoin en Automatisation montre la dynamique de Alliance 134. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
135,Avenir 135,Commerce,Tsévié,50,CRM,true,true,70,Secteur secondaire (Commerce) | Taille idéale (50 salariés) | Hors zone prioritaire (Tsévié) | Signal d'expansion : CRM,Contacté,,"Bonjour, votre besoin en CRM montre la dynamique de Avenir 135. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
136,Élite 136,Logistique,Atakpamé,5,Automatisation,true,false,60,Secteur prioritaire (Logistique) | Taille inadaptée (5 salariés) | Hors zone prioritaire (Atakpamé) | Signal d'expansion : Automatisation,Relancé,2026-09-01,"Bonjour, votre besoin en Automatisation montre la dynamique de Élite 136. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
137,Élite 137,Technologie,Agoè-Nyivé,25,Data/BI,true,true,90,"Secteur prioritaire (Technologie) | Taille correcte (25 salariés) | Lomé, couverture Fibre optimale | Signal d'expansion : Data/BI",Scoré,2026-09-01,
138,Sigma 138,Éducation,Kpalimé,25,Automatisation,true,false,75,Secteur prioritaire (Éducation) | Taille correcte (25 salariés) | Hors zone prioritaire (Kpalimé) | Signal d'expansion : Automatisation,Scoré,,
139,Élite 139,Commerce,Atakpamé,120,,true,true,45,Secteur secondaire (Commerce) | Taille idéale (120 salariés) | Hors zone prioritaire (Atakpamé) | Aucun signal de croissance détecté,Contacté,2026-08-12,"Bonjour, votre croissance dans le secteur Commerce montre la dynamique de Élite 139. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
140,Kékéli 140,Éducation,Lomé,75,,true,false,70,"Secteur prioritaire (Éducation) | Taille idéale (75 salariés) | Lomé, couverture Fibre optimale | Aucun signal de croissance détecté",Relancé,2026-08-12,"Bonjour, votre croissance dans le secteur Éducation montre la dynamique de Kékéli 140. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
141,Alliance 141,Logistique,Atakpamé,75,Développement web,true,false,80,Secteur prioritaire (Logistique) | Taille idéale (75 salariés) | Hors zone prioritaire (Atakpamé) | Signal d'expansion : Développement web,Non intéressé,2026-09-05,
142,Orion 142,Immobilier,Atakpamé,12,,true,false,40,Secteur secondaire (Immobilier) | Taille correcte (12 salariés) | Hors zone prioritaire (Atakpamé) | Aucun signal de croissance détecté,Contacté,2026-09-01,"Bonjour, votre croissance dans le secteur Immobilier montre la dynamique de Orion 142. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
143,Kékéli 143,Immobilier,Tsévié,18,Développement web,true,false,65,Secteur secondaire (Immobilier) | Taille correcte (18 salariés) | Hors zone prioritaire (Tsévié) | Signal d'expansion : Développement web,Nouveau,2026-09-10,
144,Kékéli 144,Services,Agoè-Nyivé,12,CRM,true,false,80,"Secteur secondaire (Services) | Taille correcte (12 salariés) | Lomé, couverture Fibre optimale | Signal d'expansion : CRM",Converti,2026-08-25,"Bonjour, votre besoin en CRM montre la dynamique de Kékéli 144. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
145,Vision 145,Services,Kara,5,Application mobile,true,false,60,"Secteur secondaire (Services) | Taille inadaptée (5 salariés) | Kara, couverture Fibre partielle | Signal d'expansion : Application mobile",Converti,2026-08-12,"Bonjour, votre besoin en Application mobile montre la dynamique de Vision 145. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
146,Sigma 146,Logistique,Kara,75,,true,false,65,"Secteur prioritaire (Logistique) | Taille idéale (75 salariés) | Kara, couverture Fibre partielle | Aucun signal de croissance détecté",Non intéressé,2026-08-25,
147,Orion 147,Agroalimentaire,Tsévié,8,Développement web,true,false,40,Secteur hors cible (Agroalimentaire) | Taille inadaptée (8 salariés) | Hors zone prioritaire (Tsévié) | Signal d'expansion : Développement web,Nouveau,2026-09-01,
148,Evolu 148,Logistique,Agoè-Nyivé,18,,true,false,65,"Secteur prioritaire (Logistique) | Taille correcte (18 salariés) | Lomé, couverture Fibre optimale | Aucun signal de croissance détecté",Relancé,2026-09-05,"Bonjour, votre croissance dans le secteur Logistique montre la dynamique de Evolu 148. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
149,Alliance 149,Industrie,Lomé,5,Développement web,true,false,65,"Secteur secondaire (Industrie) | Taille inadaptée (5 salariés) | Lomé, couverture Fibre optimale | Signal d'expansion : Développement web",Nouveau,2026-08-12,
150,Sigma 150,Services,Tsévié,75,Marketing digital,true,false,70,Secteur secondaire (Services) | Taille idéale (75 salariés) | Hors zone prioritaire (Tsévié) | Signal d'expansion : Marketing digital,Contacté,2026-08-12,"Bonjour, votre besoin en Marketing digital montre la dynamique de Sigma 150. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
151,Orion 13,Distribution,Kpalimé,12,Développement web,true,false,65,Secteur secondaire (Distribution) | Taille correcte (12 salariés) | Hors zone prioritaire (Kpalimé) | Signal d'expansion : Développement web,Converti,2026-09-01,"Bonjour, votre besoin en Développement web montre la dynamique de Orion 13. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
152,Alliance 46,Logistique,Agoè-Nyivé,35,Application mobile,true,false,90,"Secteur prioritaire (Logistique) | Taille correcte (35 salariés) | Lomé, couverture Fibre optimale | Signal d'expansion : Application mobile",Scoré,2026-09-05,
153,Orion 79,Logistique,Agoè-Nyivé,12,Data/BI,true,false,90,"Secteur prioritaire (Logistique) | Taille correcte (12 salariés) | Lomé, couverture Fibre optimale | Signal d'expansion : Data/BI",Relancé,2026-08-25,"Bonjour, votre besoin en Data/BI montre la dynamique de Orion 79. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
